4135 4127
39992 21301
1021 1021
8039 8039
0 0
20054 20054
0 0
0 0
0 0
77 77
0 0
40000 0
75 75
40000 40000
40000 0
16048 16048
19954 19954
0 0
1219 0
40000 0
0 0
0 0
0 0
157 157
0 0
0 0
40000 40000
0 0
0 0
9786 9786
2009 2009
0 0
40000 20046
76 76
0 0
0 0
0 0
1219 1219
0 0
0 0
1021 1021
0 0
933 933
0 0
40000 38781
15289 13744
0 0
75 75
0 0
0 0
0 0
40000 40000
0 0
0 0
0 0
19954 12399
19562 19560
0 0
0 0
13479 13479
39992 20004
0 0
1986 1940
5669 4372
20055 20055
40000 40000
0 0
0 0
0 0
0 0
0 0
1218 0
0 0
0 0
933 933
0 0
39992 19999
31960 31960
40000 40000
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
9893 9893
0 0
40000 40000
15882 13829
0 0
0 0
0 0
0 0
1219 1219
76 76
40000 40000
0 0
40000 40000
1016 1016
78 78
20224 17671
8436 39
11430 11430
0 0
0 0
40000 20308
40000 29943
1243 1243
0 0
0 0
8 7
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
40000 40000
40000 19747
0 0
1986 1986
40000 38323
20134 0
16363 15210
200 125
0 0
40000 15223
0 0
1219 1219
40000 38781
0 0
20057 6708
78 78
40000 11
0 0
77 77
1219 1219
205 127
40000 1219
0 0
0 0
0 0
933 933
0 0
167 167
0 0
0 0
40000 40000
8039 8039
0 0
0 0
0 0
0 0
9786 9786
0 0
0 0
24047 24047
0 0
0 0
933 933
0 0
7748 7748
39992 19998
27 27
13572 10111
1219 1219
3801 3801
0 0
0 0
78 78
3963 3319
0 0
0 0
78 78
0 0
0 0
31961 31927
0 0
0 0
732 575
15990 11909
218 142
0 0
0 0
40000 38781
0 0
0 0
19928 19928
10059 10059
0 0
37496 17455
0 0
1219 1219
0 0
0 0
4127 4062
8 5
0 0
0 0
0 0
1986 1009
0 0
40000 40000
0 0
0 0
0 0
40000 34
0 0
40000 40000
1021 1021
16013 15470
0 0
0 0
0 0
1348 1348
11430 11430
1986 1986
20134 140
8 8
40000 19887
1219 1219
0 0
40000 0
1219 1219
20158 20158
0 0
9950 9950
0 0
4023 3520
0 0
0 0
1 1
