8414 3230
505 9
15540 15259
11643 8581
0 0
13786 7918
7332 1269
8230 3022
11355 11355
12721 3250
17580 15359
2072 1949
213 213
7641 2682
19877 19877
27450 10563
9275 9275
12480 6497
11716 5810
11639 2398
6796 2950
19877 15462
10672 5010
11716 5810
325 325
17492 15736
12595 12595
7815 2862
9268 9252
14615 10358
5080 3928
15 0
20123 2
6722 80
15724 12388
4235 2670
15558 11772
8715 6781
7493 2628
1979 1368
41 41
8404 4539
445 386
7618 7214
17960 4802
19869 19835
1899 1849
0 0
7823 1550
19877 9848
17527 17527
11689 9539
18858 16721
12025 12025
8265 3660
3530 2855
14981 7368
19289 19149
1928 0
12411 5696
12816 8866
15112 12603
2959 2959
19487 19143
20123 1801
16386 15736
18154 17265
16724 14037
3096 2861
13678 10851
9992 7256
0 0
110 110
5295 5295
10081 10081
7698 2757
15178 11477
12656 3649
258 258
19877 15525
8202 3583
20123 20055
0 0
123 123
6473 2368
49 49
13577 5934
1560 1077
6441 2248
501 468
5323 1131
0 0
15781 9568
7631 753
9373 9373
7190 32
144 144
20074 20022
20123 20123
2165 38
3740 3740
2110 1320
1768 1754
7494 2628
13784 311
16537 16056
13400 9080
7209 2460
6428 2137
11753 5737
11044 11010
15092 2494
157 157
5297 5297
19877 19877
49 49
18662 17996
7296 2476
1890 1746
11716 5810
7587 2678
6310 2186
2422 2422
0 0
4362 4079
13861 9648
9155 3524
13173 7427
246 6
10159 3779
19325 19205
7969 2808
15 15
13786 9596
8810 4945
19400 18976
20112 20112
18076 17184
3151 1570
11802 7052
8118 3036
50 50
19770 19770
9619 4157
9381 9359
7627 207
3453 3442
17819 16554
20123 68
81 81
11341 7208
11446 6036
19440 19440
9584 9574
6934 4064
82 42
11674 6274
7620 14
6292 12
852 695
1048 1048
19877 19877
50 50
0 0
301 0
6900 5309
20106 12107
7853 139
8601 3335
1624 1624
4 4
0 0
1768 1754
5466 5466
1557 1026
2082 1335
15238 4381
1109 1109
67 20
8964 8178
13569 9230
6683 2512
13605 7522
0 0
13387 9164
39943 37391
19560 19285
14441 10602
2935 2640
19285 19285
14962 13672
7494 2628
15 15
14844 9923
19877 9410
6062 2467
13444 9177
12759 9159
11698 11698
10168 4780
569 299
20123 19558
2818 2675
9807 4839
15800 13634
20123 18721
6722 80
1331 1292
9873 5570
15072 12099
9705 4692
7332 2532
10656 2347
12375 6417
894 316
19812 19812
9429 4683
1840 1721
11935 7218
13209 8921
6722 80
19874 19874
110 110
5466 5466
0 0
20123 20123
7823 3704
16216 13691
8596 3467
38885 19761
40000 39730
10979 6140
5658 5658
64 64
5720 5720
7718 895
13866 13332
8038 2736
20081 20034
14946 11249
6828 4043
15575 15521
10103 10103
20021 12571
2423 2423
7330 3932
5513 5513
81 81
7178 2595
9538 4869
2191 1801
642 267
2756 2756
8221 8164
7197 7197
10324 4323
5513 5513
1 0
0 0
16258 14579
277 277
8130 3161
19128 19011
8555 3578
19877 12795
8478 6193
16532 16292
8732 4893
14162 13265
5325 5325
8409 3093
13483 9148
11259 8632
639 596
7561 7561
138 133
1929 0
453 188
6722 122
130 12
16596 13980
39927 32402
1427 96
19016 18359
20123 639
7220 3412
9241 3758
2090 1995
1513 1513
2085 2038
0 0
20122 20122
505 209
6558 381
19785 19475
0 0
32 32
13885 9134
0 0
7837 2555
0 0
7813 2651
17634 16522
6062 5441
8945 4603
6723 80
11643 4748
15 7
40000 39674
10575 2384
7360 2520
16935 15578
15709 7260
160 157
12408 5698
12933 9220
52 1
2821 2821
0 0
16835 16631
40000 39984
12039 12039
15858 11376
11446 6036
13038 13038
8434 8434
80 80
15714 15664
16089 9154
0 0
8044 2750
865 49
108 100
8837 4499
17242 15354
0 0
100 100
19877 7092
8615 4868
17354 15161
1889 1745
12753 9156
1682 725
13463 9166
14 14
9622 5665
1557 1026
12251 4746
259 259
5 5
7156 2576
8599 4006
19877 19859
19877 8743
2086 2039
16904 14204
3511 3511
758 619
0 0
6722 80
12246 12246
12227 12227
